"","idcompany","companyname","mode","trip_count","minutes","miles","trip_emissions"
"1",1025,"Company E","bus",4374,55159.6924536727,8576.42688479347,2023.17910212278
"2",1025,"Company E","subway",7698,97693.7682981316,27022.0381407983,6315.05031350457
"3",1110,"Company F","bus",2347,36773.9328711727,4943.28915480224,1166.12191161785
"4",1110,"Company F","subway",6900,86689.8710718569,19803.8575542736,4628.16151043374
"5",1136,"Company N","bus",1367,22813.6849188373,4878.39137589665,1150.81252557402
"6",1136,"Company N","subway",4033,62383.8739330269,15911.5757959095,3718.53526350405
"7",1709,"Company B","bus",1025,13637.0301569916,2031.67022350403,479.271005724601
"8",1709,"Company B","subway",3284,41369.6094393267,12630.7190503578,2951.79904206862
"9",1762,"Company L","bus",1434,19939.7854477612,3997.90333254851,943.105396148193
"10",1762,"Company L","subway",5503,77078.5009568032,21863.5001503204,5109.49998512988
"11",1783,"Company M","bus",1091,93493139.8529411,2067.66995082844,487.763341400428
"12",1783,"Company M","subway",3910,44091.896875,11592.7395008843,2709.22322135667
"13",1801,"Company K","bus",1667,23497.738814994,3386.61126633715,798.901597728933
"14",1801,"Company K","subway",3147,50634.9753182645,11303.6909514906,2641.67257536336
"15",1840,"Company I","bus",369,4037.40310077519,570.234334273256,134.518279455061
"16",1840,"Company I","subway",2115,23994.2088819769,6854.90265243708,1601.99074987455
"17",1858,"Company J","bus",791,13491.6046448087,2474.46070529103,583.725280378155
"18",1858,"Company J","subway",4207,55810.0133542812,13265.0554619912,3100.04346146735
"19",1904,"Company A","bus",707,12219.992541595,2499.50454893591,589.633123093981
"20",1904,"Company A","subway",2650,42244.5063200359,11939.8802124017,2790.35000563828
"21",1968,"Company H","bus",2807,38509.9380128205,6448.46147114633,1521.19206104342
"22",1968,"Company H","subway",2497,39245.6308395677,9793.59277272883,2288.76263098673
"23",2456,"Company O","bus",2475,35119.8780844725,4755.03666272328,1121.71314873642
"24",2456,"Company O","subway",3783,54787.4021113244,12699.3989431735,2967.84953301966
"25",3171,"Company D","bus",1255,17738.6315309842,2621.48323634024,618.407895452662
"26",3171,"Company D","subway",4790,53107.5161162856,13461.3593724056,3145.91968533119
"27",3199,"Company C","bus",968,15359.0438799076,2256.62754298292,532.338437389671
"28",3199,"Company C","subway",5236,64578.9531642225,16557.9799174338,3869.59990670429
"29",3480,"Company G","bus",1254,16450.4148606811,2937.05589016632,692.851484490234
"30",3480,"Company G","subway",6058,82206.2499095071,22129.4508144465,5171.65265533614
"31",3574,"Company Q","bus",1726,27073.5281767956,3604.03353534732,850.191510988433
"32",3574,"Company Q","subway",6628,83060.5115870154,15786.5028450147,3689.30571487994
"33",11078,"Company P","bus",850,10643.8006840796,1550.27840104619,365.710674806797
"34",11078,"Company P","subway",4858,69125.9545755187,18076.344236759,4224.44164813058
"35",1025,"Company E","commrail",1596,67169.10100902,25492.130595468,9778.78129642152
"36",1110,"Company F","commrail",2660,103593.23142352,34986.767634948,13420.9240647661
"37",1136,"Company N","commrail",4256,180832.1245258,70804.420405448,27160.5756675299
"38",1709,"Company B","commrail",4370,223117.01896276,97524.18399632,37410.2769809883
"39",1762,"Company L","commrail",4142,173143.71912028,65292.528302684,25046.2138569096
"40",1783,"Company M","commrail",5244,262268.58650552,114744.552983204,44016.0105243571
"41",1801,"Company K","commrail",3838,193281.71940486,83589.11501134,32064.78451835
"42",1840,"Company I","commrail",1672,74519.0613172,30114.517915508,11551.9290723889
"43",1858,"Company J","commrail",5054,230076.06489118,95633.715998248,36685.0934569279
"44",1904,"Company A","commrail",2584,114502.5552782,46310.511166716,17764.7120835523
"45",1968,"Company H","commrail",228,9544.47136808,3402.591452996,1305.23408136927
"46",2456,"Company O","commrail",3192,139695.61210376,55300.784606416,21213.3809750212
"47",3171,"Company D","commrail",3192,144750.79102184,60078.57232902,23046.1403454121
"48",3199,"Company C","commrail",3154,170790.54978322,76824.094073852,29469.7224867296
"49",3480,"Company G","commrail",2318,98213.85234194,37911.97925442,14543.0352419955
"50",3574,"Company Q","commrail",114,3312.86111166,472.466666616,181.238213313898
"51",11078,"Company P","commrail",3458,185079.30864588,83268.360872064,31941.7432305237
"52",1025,"Company E","car",10341,192042.477419531,73558.772754149,64054.979314313
"53",1110,"Company F","car",10784,189405.761166138,79877.6581305754,69557.4647001051
"54",1136,"Company N","car",8475,202062.645755921,113579.712201333,98905.2133849206
"55",1709,"Company B","car",7981,224048.290306102,136617.458933194,118966.483239025
"56",1762,"Company L","car",9682,213151.664688028,115344.975164284,100442.404373058
"57",1783,"Company M","car",9172,249185.713379535,157256.002005017,136938.526545969
"58",1801,"Company K","car",7679,195188.191935248,118383.477744137,103088.332419594
"59",1840,"Company I","car",3473,82458.194667607,45452.1657795464,39579.745960829
"60",1858,"Company J","car",8448,221779.623095435,137013.021739253,119310.939330541
"61",1904,"Company A","car",5732,139421.993799404,77599.2892329659,67573.4610640667
"62",1968,"Company H","car",4012,68395.4152947069,22810.7138998414,19863.5696639819
"63",2456,"Company O","car",7836,170529.87504354,88721.5347826037,77258.7124886913
"64",3171,"Company D","car",7473,168728.251450725,93424.1678386974,81353.7653539377
"65",3199,"Company C","car",7653,195511.78962811,112097.256331227,97614.2908132321
"66",3480,"Company G","car",8389,177860.000172774,78327.3736860418,68207.4770058052
"67",3574,"Company Q","car",6777,94364.2300782971,24165.9099429452,21043.6743783166
"68",11078,"Company P","car",7522,205327.230771412,120818.782204805,105208.995543944
